769 963 578 924 904 922 309 375 590 414 | 337 790 689 532 760 814 686 594 468 722 | 99 797 314 996 317 844 567 15 455 551 | 310 612 198 325 217 812 387 775 516 522 | 762 807 570 147 428 494 575 449 559 985 | 394 899 64 132 568 671 656 565 796 26 | 774 349 838 557 572 664 756 93 353 289 | 158 919 461 118 249 169 882 290 250 29 | 584 969 548 749 507 227 31 788 910 504 | 143 519 57 721 702 248 254 720 242 98 
714 610 911 530 679 770 652 669 46 851 | 579 986 110 102 474 170 520 271 86 432 | 42 422 363 315 58 863 469 839 830 491 | 960 39 613 239 930 203 773 758 194 253 | 164 938 341 37 152 627 753 712 224 262 | 19 703 660 18 752 744 740 733 698 945 | 766 625 119 300 966 655 608 319 278 943 | 827 92 984 876 433 864 55 867 823 925 | 379 412 630 307 495 902 875 884 917 318 | 329 390 123 954 402 156 847 684 96 822 
234 573 555 858 348 139 699 545 480 681 | 296 500 11 101 971 973 644 841 373 368 | 28 80 514 798 277 593 672 862 564 378 | 653 478 435 562 180 831 980 982 713 787 | 606 587 553 662 675 748 588 128 76 524 | 489 214 852 419 111 445 580 897 142 33 | 680 69 711 294 558 539 265 291 243 231 | 546 245 261 715 471 705 487 650 511 323 | 633 927 97 308 916 737 222 188 965 747 | 301 898 493 25 850 121 131 835 819 544 
639 550 430 881 316 241 736 604 299 130 | 617 488 730 676 552 333 342 326 854 221 | 145 298 547 201 908 252 794 742 531 913 | 498 447 207 286 211 216 384 710 202 269 | 416 750 380 127 834 543 47 894 620 738 | 600 24 285 678 90 367 401 485 914 112 | 441 256 939 607 992 805 605 396 236 853 | 175 781 475 464 32 741 89 61 400 673 | 891 621 824 956 900 327 358 215 75 527 | 895 739 160 371 601 708 935 336 287 17 
540 386 153 990 184 892 370 0 815 274 | 998 403 140 312 880 826 566 415 936 784 | 576 554 970 450 444 273 755 331 209 855 | 586 465 85 321 186 490 22 888 793 292 | 525 574 456 360 704 218 649 44 729 962 | 968 931 817 398 365 178 120 979 786 418 | 114 10 618 125 528 598 860 212 687 791 | 666 636 887 40 981 83 526 220 45 167 | 389 446 955 429 624 501 244 267 957 115 | 200 701 696 842 735 623 809 385 727 351 
205 172 629 509 36 302 949 767 745 476 | 154 126 746 646 577 874 54 933 611 789 | 2 284 434 208 182 393 343 74 622 297 | 454 483 952 866 821 106 682 266 857 599 | 991 335 780 23 423 13 59 731 492 988 | 632 725 421 155 270 183 372 506 535 903 | 538 581 759 534 168 7 70 88 420 517 | 117 4 91 615 529 21 811 280 872 223 | 237 670 288 829 190 383 707 427 162 103 | 658 503 596 941 411 51 388 34 381 324 
921 616 926 176 377 94 961 459 238 339 | 765 328 199 840 397 472 920 453 523 338 | 978 589 918 413 177 258 5 71 732 283 | 187 122 890 934 976 355 322 808 369 357 | 228 409 950 743 642 68 571 637 171 542 | 192 989 50 67 82 477 136 366 138 942 | 667 772 264 460 276 486 845 226 779 958 | 603 352 505 197 768 974 694 113 405 719 | 977 105 803 502 837 626 647 63 9 907 | 932 659 49 795 161 174 944 848 81 995 
496 484 179 893 149 53 635 408 878 206 | 691 591 72 458 313 306 709 410 65 235 | 12 210 657 661 191 225 806 549 648 165 | 438 107 213 27 726 185 473 38 782 303 | 871 697 451 948 994 609 690 157 734 685 | 193 497 792 706 440 999 777 219 334 569 | 816 865 906 30 364 376 583 304 799 263 | 466 350 431 677 536 163 356 754 723 674 | 232 16 828 452 260 820 345 481 825 602 | 915 259 764 946 109 560 151 395 305 513 
582 463 631 255 563 508 60 406 129 651 | 716 804 997 859 275 951 833 20 776 340 | 361 141 668 937 510 634 700 246 247 404 | 993 374 556 870 905 73 877 645 362 230 | 843 417 975 134 282 181 643 6 967 439 | 425 150 437 268 448 195 561 229 869 79 | 832 929 533 295 751 512 879 3 442 654 | 135 771 293 436 518 407 137 785 116 692 | 886 146 619 391 597 912 640 467 43 763 | 87 883 515 537 856 846 104 959 399 479 
354 718 499 332 964 928 868 311 665 14 | 861 638 204 392 724 41 84 717 8 457 | 62 100 901 144 761 693 159 873 320 78 | 148 688 482 52 189 813 663 953 133 35 | 592 896 346 257 810 95 802 382 462 885 | 849 641 424 279 281 728 196 48 801 541 | 889 77 359 240 940 909 800 66 344 947 | 272 983 595 585 347 124 330 1 521 757 | 251 783 778 108 972 683 987 695 628 173 | 233 836 818 426 614 166 56 443 470 923 
